COUNTRY;ISO3;Human Development Inde;Multidimensional Poverty Inde;Development & Deprivation;Gender Inequality Inde;Gini Inde;Inequality;Total public Aid (M US$);Public Aid per capita (US$);Public Aid per capita (US$);Net ODA received (% of GNI);Aid Dependency Inde;INFORM Socio-Economic Vulnerability;Total Uprooted people (1,000 people);Uprooted people (total population);Total/Pop;Total Uprooted people (percentage of the total population);Uprooted people;Estimated number of people living with HIV - Adult (>15) rate;Tuberculosis prevalence;Malaria mortality rate;Health Conditions;Child Mortality;Malnutrition in children under 5;Children Under 5;Total affected by Natural Disasters last 3 years (1,000 people);Natural Disasters % of total pop;Recent Shocks;Food Availability Score;Food Utilization Score;Domestic Food Price Level Inde;Domestic Food Price Volatility Inde;Food Acces Score;Food Security;Other Vulnerable Groups;INFORM Vulnerable Groups
Côte d'Ivoire;CIV;7,3;5,7;6,6;9;4,5;6,8;397,1;16,75815921;0,3;1,2;0,8;5,2;307,645;8,3;0,012983037;6;7,2;5,4;2,8;5,9;4,7;7,1;3,5;5,3;0,225;9,50E-06;0;3,1;3,5;6,4;4,4;6;4,2;3,8;5,8
Croatia;HRV;1,9;;1,9;1,9;1,7;1,8;1,075614;0,257903899;0;;0;1,4;0,376;0;9,02E-05;1,8;0,9;0,2;0,2;;0,2;0,4;;0,4;0,98;0,000234978;0;2,9;0;2,4;1,4;2,2;1,7;0,6;0,8
Cuba;CUB;2,7;;2,7;4,1;;4,1;2472,046322;215,4104391;4,3;;4,3;3,5;0,325;0;2,83E-05;0;0;0,8;0,1;;0,5;0,4;;0,4;10120;0,881841746;10;0,9;0;;;;0,5;5,1;2,9
Cyprus;CYP;1,4;;1,4;1,6;2,3;2;0;0;0;;0;1,2;281,238;8,2;0,240348681;10;9,1;0,2;0,1;;0,2;0,2;;0,2;0;0;0;5,7;0;1,1;6,4;2,2;2,6;0,8;6,6
Czech Republic;CZE;1,1;;1,1;1,7;0,3;1;0;0;0;;0;0,8;3,644;1,9;0,000345022;2,5;2,2;0,2;0,1;;0,2;0,2;;0,2;0;0;0;2,8;0;1,4;5,4;2,2;1,7;0,5;1,4
Denmark;DNK;0,4;;0,4;0,6;1;0,8;10;1,744860252;0;;0;0,4;34,977;5,1;0,006102998;5;5,1;0,4;0,1;;0,3;0,3;;0,3;0;0;0;2,3;0;0,3;3;0,8;1;0,4;3,1
Djibouti;DJI;7,3;1,7;5,1;;5;5;207,664204;220,3724204;4,4;;4,4;4,9;33,525;5,1;0,035576596;7,7;6,4;2,6;6,1;2,3;3,7;4,9;6,6;5,8;0;0;0;4,3;2,6;;;;3,5;3,5;5,1
Dominica;DMA;3,4;;3,4;;;;31,631856;430,1137566;8,6;1;4,8;3,9;0;0;0;0;0;;0,1;;0,1;2,6;;2,6;78,4415;1,066607291;10;4;0,3;;;;2,2;5,6;3,3
Dominican Republic;DOM;3,5;0;1,9;6,3;5,5;5,9;366,741939;34,43977246;0,7;0,2;0,5;2,6;0,592;0;5,56E-05;1,6;0,8;2;1,1;0;1;2,4;0,9;1,7;935,83325;0,087881643;8,8;5,5;2,8;3,4;2,6;3,2;3,8;4,8;3
Ecuador;ECU;3,2;0;1,7;5,2;5,1;5,2;397,443438;24,25644117;0,5;0,2;0,4;2,3;102,61;6,7;0,006262409;5;5,9;0,6;0,9;0;0,5;1,6;1,4;1,5;444,53975;0,027130785;2,7;5,6;2,4;2,7;2,9;2,7;3,6;2,2;4,3
Egypt;EGY;4;0;2,2;7,5;1,4;4,5;423,810973;4,42906071;0,1;0,4;0,3;2,3;307,196;8,3;0,003210369;4,3;6,3;0,2;0,3;;0,3;1,8;1,6;1,7;16,33625;0,000170723;0;0;0;7,2;4,9;6,7;2,2;1,1;4,2
El Salvador;SLV;4,2;;4,2;5,1;4,2;4,7;198,637026;31,30744357;0,6;0,3;0,5;3,4;0,043;0;6,78E-06;0;0;1,2;1,1;0;0,8;1,2;1,5;1,4;130;0,020489471;2;4,8;2,4;3,6;1,5;3,2;3,5;2;1
Equatorial Guinea;GNQ;5,5;;5,5;;;;11,65;9,537532031;0,2;0,1;0,2;3,7;0;0;0;0;0;10;3,3;5,8;6,4;7;1,2;4,1;0;0;0;3,2;0,7;;;;2;3,5;1,9
Eritrea;ERI;8,2;;8,2;;;;38,182365;7,471437902;0,1;;0,1;5,5;2,381;1,3;0,000465909;2,6;2;1,2;1,3;0,3;0,9;3,4;8,6;6;0;0;0;6,8;7,9;;;;7,4;4,3;3,2
Estonia;EST;1,3;;1,3;1,7;2;1,9;0,023229;0,017644767;0;;0;1,1;0,402;0;0,00030536;2,4;1,2;2,6;0,3;;1,5;0,2;;0,2;0;0;0;2,8;0;2;3,7;2,3;1,7;0,9;1,1
Ethiopia;ETH;7,7;10;9,2;6,6;2;4,3;6284,978513;61,37482533;1,2;3,8;2,5;6,3;2588,661;10;0,025279103;7,1;8,6;2,2;3,2;4;3,1;4,5;5,6;5,1;2849,19;0,027823252;2,8;6,8;7,9;5,8;4,5;5,5;6,7;4,6;7,1
Fiji;FJI;3,3;;3,3;4,8;4,4;4,6;197,035727;219,2306367;4,4;1,6;3;3,6;0,011;0;1,22E-05;0;0;0,2;1,1;;0,7;1,7;;1,7;194,25;0,216131114;10;3,6;0;4,6;4,2;4,5;2,7;5,6;3,3
Finland;FIN;0,8;;0,8;0,8;0,5;0,7;0;0;0;;0;0,6;19,939;4,3;0,003628508;4,4;4,4;;0,1;;0,1;0,2;;0,2;0;0;0;2,1;0;0,7;3,1;1,2;1,1;0,4;2,6
